year,agency_code,category_code,pct_ib_pass,pct_ib_participation
2018,130314,H,0.95,
2018,130LEA,,0.95,
2018,181322,H,0.72,
2018,181LEA,,0.72,
2018,260427,H,0.88,
2018,260LEA,,0.88,
2018,320325,H,0.38,0.07
2018,320LEA,,0.38,
2018,340486,H,0.55,
2018,340LEA,,0.55,
2018,410394,H,0.76,0.14
2018,410406,H,0.84,0.08
2018,410508,H,0.78,0.13
2018,410544,H,0.39,0.06
2018,410LEA,,0.74,
2018,490362,H,0.95,0.09
2018,490LEA,,0.95,
2018,510399,H,0.83,
2018,510LEA,,0.83,
2018,530336,H,0.5,
2018,530LEA,,0.5,
2018,540315,H,0.5,
2018,540LEA,,0.5,
2018,600377,H,0.64,0.12
2018,600405,H,0.28,
2018,600466,H,0.77,0.1
2018,600480,H,0.71,0.06
2018,600576,H,0.4,
2018,600LEA,,0.68,
2018,640361,H,0.74,
2018,640LEA,,0.74,
2018,650342,H,0.69,0.07
2018,650LEA,,0.69,
2018,670324,H,0.67,
2018,670LEA,,0.67,
2018,680310,H,0.79,0.06
2018,680LEA,,0.79,
2018,790366,H,0.19,0.11
2018,790LEA,,0.19,
2018,900393,H,0.95,
2018,900LEA,,0.95,
2018,920348,H,0.9,0.06
2018,920412,H,0.84,
2018,920436,H,0.62,0.06
2018,920500,H,0.83,0.08
2018,920LEA,,0.78,
2018,980318,H,0.86,
2018,980336,H,0.95,
2018,980342,H,0.95,
2018,980LEA,,0.95,
2018,NC-SEA,,0.72,
