year,agency_code,cgr_type,subgroup,den,pct,masking
2019,00A000,EXT,ALL,20,15.0,
2019,00A000,EXT,MALE,12,8.3,
2019,00A000,EXT,NEDS,13,15.4,
2019,00A000,EXT,NSWD,16,18.8,
2019,00A000,EXT,WH7,12,8.3,
2019,00A000,STD,AIG,32,81.3,
2019,00A000,STD,ALL,383,48.3,
2019,00A000,STD,BL7,55,43.6,
2019,00A000,STD,EDS,83,31.3,
2019,00A000,STD,FEM,247,49.4,
2019,00A000,STD,HI7,37,43.2,
2019,00A000,STD,MALE,136,46.3,
2019,00A000,STD,MU7,33,45.5,
2019,00A000,STD,NEDS,300,53.0,
2019,00A000,STD,NSWD,346,49.7,
2019,00A000,STD,SWD,37,35.1,
2019,00A000,STD,WH7,248,50.4,
2019,00B000,EXT,ALL,55,61.8,
2019,00B000,EXT,EDS,14,35.7,
2019,00B000,EXT,FEM,36,66.7,
2019,00B000,EXT,MALE,19,52.6,
2019,00B000,EXT,NEDS,41,70.7,
2019,00B000,EXT,NSWD,52,63.5,
2019,00B000,EXT,WH7,37,56.8,
2019,00B000,STD,ALL,83,60.2,
2019,00B000,STD,EDS,26,30.8,
2019,00B000,STD,FEM,53,66.0,
2019,00B000,STD,MALE,30,50.0,
2019,00B000,STD,MU7,10,50.0,
2019,00B000,STD,NEDS,57,73.7,
2019,00B000,STD,NSWD,68,61.8,
2019,00B000,STD,SWD,15,53.3,
2019,00B000,STD,WH7,61,63.9,
2019,010303,EXT,ALL,33,95.0,1.0
2019,010303,EXT,EDS,10,95.0,1.0
2019,010303,EXT,FEM,22,95.0,1.0
2019,010303,EXT,MALE,11,95.0,1.0
2019,010303,EXT,NEDS,23,95.0,1.0
2019,010303,EXT,NSWD,32,95.0,1.0
2019,010303,EXT,WH7,21,95.0,1.0
2019,010303,STD,ALL,19,95.0,1.0
2019,010303,STD,FEM,17,95.0,1.0
2019,010303,STD,NEDS,13,95.0,1.0
2019,010303,STD,NSWD,19,95.0,1.0
2019,010303,STD,WH7,10,95.0,1.0
2019,010324,EXT,AIG,64,95.0,1.0
2019,010324,EXT,ALL,329,86.0,
2019,010324,EXT,BL7,73,90.4,
2019,010324,EXT,EDS,104,77.9,
2019,010324,EXT,FEM,136,89.0,
2019,010324,EXT,HI7,40,85.0,
2019,010324,EXT,HMS,11,45.5,
2019,010324,EXT,MALE,193,83.9,
2019,010324,EXT,MU7,14,78.6,
2019,010324,EXT,NEDS,225,89.8,
2019,010324,EXT,NSWD,275,88.4,
2019,010324,EXT,SWD,54,74.1,
2019,010324,EXT,WH7,199,84.9,
2019,010324,STD,AIG,65,95.0,1.0
2019,010324,STD,ALL,328,83.2,
2019,010324,STD,BL7,82,76.8,
2019,010324,STD,EDS,113,67.3,
2019,010324,STD,ELS,10,70.0,
2019,010324,STD,FEM,150,88.0,
2019,010324,STD,HI7,44,79.5,
2019,010324,STD,MALE,178,79.2,
2019,010324,STD,MU7,19,84.2,
2019,010324,STD,NEDS,215,91.6,
2019,010324,STD,NSWD,288,86.5,
2019,010324,STD,SWD,40,60.0,
2019,010324,STD,WH7,179,86.6,
2019,010348,EXT,AIG,13,95.0,1.0
2019,010348,EXT,ALL,223,75.3,
2019,010348,EXT,BL7,67,74.6,
2019,010348,EXT,EDS,140,80.7,
2019,010348,EXT,ELS,31,64.5,
2019,010348,EXT,FEM,104,75.0,
2019,010348,EXT,HI7,93,78.5,
2019,010348,EXT,HMS,22,36.4,
2019,010348,EXT,MALE,119,75.6,
2019,010348,EXT,MU7,18,55.6,
2019,010348,EXT,NEDS,83,66.3,
2019,010348,EXT,NSWD,193,77.7,
2019,010348,EXT,SWD,30,60.0,
2019,010348,EXT,WH7,41,75.6,
2019,010348,STD,AIG,19,94.7,
2019,010348,STD,ALL,217,68.7,
2019,010348,STD,BL7,63,68.3,
2019,010348,STD,EDS,133,65.4,
2019,010348,STD,ELS,29,55.2,
2019,010348,STD,FEM,102,77.5,
2019,010348,STD,HI7,97,74.2,
2019,010348,STD,HMS,12,66.7,
2019,010348,STD,MALE,115,60.9,
2019,010348,STD,MU7,10,70.0,
2019,010348,STD,NEDS,84,73.8,
2019,010348,STD,NSWD,181,74.0,
2019,010348,STD,SWD,36,41.7,
2019,010348,STD,WH7,43,53.5,
2019,010360,EXT,AIG,24,95.0,1.0
2019,010360,EXT,ALL,266,72.2,
2019,010360,EXT,BL7,95,75.8,
2019,010360,EXT,EDS,185,74.6,
2019,010360,EXT,ELS,58,60.3,
2019,010360,EXT,FEM,116,82.8,
2019,010360,EXT,HI7,140,70.7,
2019,010360,EXT,HMS,21,52.4,
2019,010360,EXT,MALE,150,64.0,
2019,010360,EXT,MU7,10,90.0,
2019,010360,EXT,NEDS,81,66.7,
2019,010360,EXT,NSWD,232,73.7,
2019,010360,EXT,SWD,34,61.8,
2019,010360,EXT,WH7,16,43.8,
2019,010360,STD,AIG,38,92.1,
2019,010360,STD,ALL,254,73.6,
2019,010360,STD,BL7,95,76.8,
2019,010360,STD,EDS,165,73.9,
2019,010360,STD,ELS,44,61.4,
2019,010360,STD,FEM,110,74.5,
2019,010360,STD,HI7,111,78.4,
2019,010360,STD,HMS,25,40.0,
2019,010360,STD,MALE,144,72.9,
2019,010360,STD,MU7,10,50.0,
2019,010360,STD,NEDS,89,73.0,
2019,010360,STD,NSWD,202,79.7,
2019,010360,STD,SWD,52,50.0,
